iter	Passed	Remaining
0	57	57317
1	96	48376
2	122	40712
3	144	36090
4	173	34568
5	208	34624
6	231	32890
7	256	31854
8	312	34415
9	357	35392
10	405	36482
11	447	36878
12	473	35919
13	496	34942
14	521	34239
15	552	33985
16	574	33235
17	603	32942
18	626	32357
19	658	32245
20	684	31890
21	706	31423
22	733	31137
23	766	31186
24	789	30804
25	816	30580
26	839	30251
27	887	30812
28	925	30983
29	951	30774
30	982	30720
31	1020	30859
32	1042	30553
33	1067	30335
34	1103	30411
35	1164	31176
36	1197	31174
37	1227	31075
38	1251	30826
39	1348	32356
40	1385	32407
41	1430	32624
42	1457	32439
43	1484	32259
44	1510	32055
45	1533	31801
46	1561	31666
47	1593	31600
48	1616	31366
49	1642	31209
50	1666	31013
51	1696	30930
52	1722	30773
53	1748	30628
54	1775	30500
55	1803	30403
56	1826	30216
57	1852	30084
58	1882	30025
59	1906	29868
60	1932	29751
61	1955	29585
62	1982	29481
63	2007	29362
64	2033	29254
65	2055	29087
66	2081	28990
67	2107	28881
68	2133	28783
69	2195	29173
70	2240	29316
71	2316	29863
72	2385	30294
73	2441	30548
74	2485	30650
75	2546	30961
76	2600	31167
77	2664	31492
78	2717	31680
79	2744	31563
80	2784	31587
81	2825	31636
82	2868	31689
83	2911	31746
84	2960	31874
85	3006	31953
86	3034	31842
87	3062	31734
88	3099	31727
89	3129	31644
90	3151	31479
91	3181	31395
92	3203	31244
93	3252	31352
94	3315	31585
95	3416	32175
96	3456	32176
97	3550	32683
98	3612	32879
99	3649	32848
100	3688	32835
101	3739	32925
102	3784	32954
103	3822	32931
104	3876	33042
105	3916	33029
106	3954	33006
107	4010	33127
108	4033	32970
109	4059	32846
110	4081	32688
111	4104	32540
112	4133	32445
113	4158	32320
114	4186	32216
115	4214	32118
116	4267	32203
117	4342	32457
118	4378	32414
119	4400	32267
120	4431	32191
121	4456	32071
122	4478	31934
123	4487	31699
124	4507	31553
125	4538	31478
126	4560	31351
127	4587	31249
128	4609	31120
129	4640	31057
130	4667	30963
131	4689	30838
132	4712	30720
133	4745	30668
134	4770	30565
135	4799	30489
136	4821	30373
137	4853	30319
138	4876	30207
139	4903	30122
140	4931	30045
141	4958	29958
142	4981	29856
143	5004	29747
144	5032	29671
145	5057	29583
146	5082	29493
147	5104	29387
148	5131	29307
149	5163	29257
150	5184	29151
151	5207	29055
152	5274	29197
153	5340	29340
154	5381	29339
155	5403	29235
156	5428	29149
157	5455	29071
158	5485	29012
159	5510	28930
160	5532	28828
161	5555	28735
162	5585	28682
163	5611	28607
164	5642	28555
165	5665	28463
166	5695	28408
167	5712	28289
168	5736	28208
169	5762	28133
170	5792	28083
171	5815	27995
172	5846	27946
173	5873	27883
174	5900	27817
175	5925	27740
176	5947	27652
177	5973	27583
178	6000	27522
179	6046	27546
180	6072	27476
181	6094	27390
182	6125	27346
183	6147	27262
184	6158	27130
185	6180	27047
186	6227	27076
187	6273	27095
188	6339	27203
189	6370	27157
190	6391	27071
191	6421	27025
192	6445	26949
193	6468	26876
194	6490	26795
195	6516	26730
196	6543	26671
197	6570	26613
198	6592	26533
199	6617	26468
200	6643	26407
201	6668	26342
202	6690	26269
203	6716	26206
204	6725	26082
205	6756	26041
206	6781	25979
207	6802	25903
208	6836	25872
209	6863	25818
210	6888	25760
211	6914	25702
212	6941	25649
213	6963	25578
214	6986	25507
215	7010	25446
216	7035	25387
217	7064	25342
218	7086	25270
219	7112	25216
220	7133	25144
221	7158	25087
222	7185	25035
223	7226	25035
224	7281	25082
225	7335	25122
226	7365	25082
227	7390	25023
228	7413	24960
229	7431	24877
230	7455	24820
231	7481	24766
232	7505	24707
233	7527	24641
234	7552	24585
235	7578	24534
236	7603	24480
237	7626	24416
238	7647	24350
239	7676	24309
240	7703	24260
241	7720	24183
242	7745	24129
243	7772	24080
244	7805	24052
245	7827	23990
246	7852	23938
247	7874	23878
248	7904	23840
249	7926	23778
250	7954	23737
251	7976	23675
252	8005	23637
253	8031	23587
254	8053	23528
255	8075	23470
256	8106	23435
257	8131	23386
258	8154	23329
259	8185	23296
260	8240	23331
261	8284	23335
262	8348	23395
263	8370	23335
264	8395	23285
265	8417	23225
266	8447	23190
267	8479	23160
268	8500	23099
269	8538	23086
270	8576	23070
271	8612	23050
272	8642	23015
273	8664	22956
274	8689	22909
275	8713	22856
276	8744	22823
277	8771	22780
278	8798	22738
279	8825	22693
280	8856	22661
281	8879	22606
282	8904	22561
283	8926	22505
284	8957	22472
285	8980	22418
286	9009	22382
287	9035	22338
288	9062	22294
289	9087	22248
290	9109	22193
291	9134	22148
292	9161	22106
293	9205	22105
294	9276	22168
295	9319	22164
296	9349	22131
297	9372	22079
298	9397	22031
299	9421	21984
300	9448	21942
301	9474	21898
302	9498	21850
303	9523	21803
304	9551	21765
305	9574	21715
306	9599	21669
307	9621	21616
308	9646	21572
309	9678	21541
310	9699	21488
311	9726	21449
312	9748	21396
313	9780	21367
314	9803	21318
315	9829	21276
316	9851	21224
317	9888	21208
318	9917	21171
319	9943	21129
320	9965	21079
321	9990	21036
322	10016	20994
323	10043	20955
324	10066	20907
325	10092	20867
326	10116	20820
327	10142	20779
328	10205	20814
329	10244	20800
330	10311	20840
331	10332	20788
332	10357	20746
333	10379	20696
334	10405	20655
335	10429	20609
336	10454	20568
337	10476	20518
338	10501	20476
339	10528	20436
340	10556	20400
341	10579	20354
342	10601	20307
343	10632	20275
344	10655	20230
345	10682	20191
346	10704	20145
347	10737	20116
348	10767	20084
349	10794	20047
350	10819	20004
351	10849	19973
352	10883	19947
353	10908	19906
354	10930	19859
355	10960	19827
356	10984	19785
357	11010	19745
358	11030	19694
359	11061	19664
360	11084	19620
361	11109	19579
362	11129	19530
363	11195	19561
364	11235	19545
365	11298	19571
366	11320	19525
367	11341	19477
368	11364	19432
369	11388	19391
370	11415	19353
371	11437	19309
372	11460	19264
373	11484	19222
374	11513	19189
375	11535	19144
376	11558	19101
377	11580	19056
378	11612	19027
379	11633	18981
380	11657	18938
381	11679	18894
382	11704	18856
383	11738	18830
384	11768	18799
385	11790	18755
386	11814	18714
387	11841	18677
388	11866	18639
389	11888	18595
390	11910	18551
391	11946	18529
392	11986	18512
393	12083	18585
394	12149	18608
395	12271	18717
396	12309	18697
397	12360	18696
398	12399	18676
399	12435	18653
400	12485	18650
401	12519	18624
402	12577	18632
403	12614	18608
404	12641	18571
405	12667	18533
406	12692	18492
407	12713	18447
408	12736	18403
409	12776	18385
410	12799	18342
411	12819	18295
412	12843	18254
413	12873	18221
414	12895	18178
415	12915	18131
416	12940	18091
417	12964	18051
418	12994	18018
419	13013	17971
420	13034	17926
421	13064	17893
422	13145	17931
423	13294	18060
424	13331	18036
425	13380	18028
426	13471	18077
427	13533	18087
428	13604	18107
429	13754	18232
430	13827	18254
431	13978	18379
432	14060	18411
433	14110	18402
434	14337	18621
435	14384	18607
436	14440	18603
437	14470	18566
438	14495	18523
439	14528	18490
440	14554	18448
441	14583	18411
442	14616	18378
443	14664	18364
444	14726	18367
445	14784	18364
446	14842	18362
447	14866	18317
448	14897	18281
449	14924	18241
450	14949	18198
451	14974	18154
452	15000	18112
453	15026	18071
454	15048	18025
455	15076	17985
456	15177	18033
457	15266	18066
458	15309	18045
459	15339	18007
460	15363	17963
461	15394	17927
462	15438	17906
463	15462	17862
464	15510	17845
465	15559	17830
466	15624	17832
467	15692	17838
468	15756	17839
469	15807	17825
470	15836	17786
471	15870	17753
472	15895	17710
473	15923	17670
474	15971	17652
475	15999	17612
476	16023	17568
477	16054	17532
478	16077	17487
479	16105	17448
480	16168	17446
481	16210	17420
482	16273	17419
483	16294	17371
484	16319	17328
485	16378	17322
486	16430	17307
487	16490	17301
488	16552	17297
489	16611	17289
490	16683	17294
491	16729	17274
492	16761	17237
493	16786	17194
494	16823	17163
495	16858	17130
496	16882	17086
497	16911	17047
498	16955	17023
499	16995	16995
500	17025	16957
501	17048	16912
502	17076	16872
503	17121	16850
504	17163	16823
505	17228	16820
506	17257	16780
507	17286	16741
508	17307	16695
509	17328	16649
510	17356	16609
511	17388	16573
512	17413	16531
513	17474	16522
514	17519	16499
515	17570	16480
516	17602	16444
517	17625	16400
518	17651	16359
519	17685	16324
520	17708	16280
521	17733	16239
522	17757	16195
523	17790	16160
524	17817	16120
525	17853	16088
526	17898	16064
527	17947	16043
528	17999	16026
529	18055	16011
530	18100	15987
531	18171	15985
532	18247	15987
533	18279	15952
534	18318	15921
535	18373	15905
536	18443	15901
537	18526	15909
538	18581	15892
539	18610	15853
540	18640	15814
541	18679	15784
542	18722	15757
543	18752	15718
544	18789	15687
545	18814	15644
546	18837	15600
547	18865	15560
548	18893	15520
549	18936	15493
550	18981	15467
551	19048	15459
552	19231	15545
553	19263	15507
554	19312	15484
555	19367	15466
556	19428	15452
557	19470	15422
558	19528	15406
559	19560	15368
560	19583	15324
561	19615	15287
562	19642	15246
563	19666	15203
564	19695	15163
565	19718	15119
566	19741	15075
567	19771	15037
568	19813	15008
569	19842	14968
570	19863	14923
571	19897	14887
572	19921	14845
573	19957	14811
574	20005	14786
575	20022	14738
576	20055	14702
577	20249	14784
578	20304	14763
579	20386	14762
580	20487	14775
581	20578	14779
582	20650	14770
583	20754	14784
584	20818	14768
585	20862	14739
586	20913	14714
587	20958	14685
588	21017	14666
589	21110	14669
590	21228	14691
591	21273	14661
592	21313	14628
593	21358	14598
594	21398	14565
595	21444	14536
596	21480	14500
597	21506	14457
598	21548	14425
599	21616	14410
600	21659	14379
601	21688	14338
602	21712	14295
603	21741	14254
604	21774	14216
605	21803	14175
606	21834	14136
607	21863	14096
608	21892	14055
609	21920	14014
610	21954	13977
611	21977	13933
612	22005	13892
613	22045	13859
614	22101	13835
615	22184	13829
616	22213	13788
617	22235	13744
618	22264	13704
619	22295	13664
620	22317	13620
621	22344	13579
622	22378	13542
623	22402	13498
624	22434	13460
625	22463	13420
626	22496	13383
627	22531	13346
628	22631	13348
629	22698	13330
630	22746	13301
631	22808	13280
632	22847	13246
633	22891	13214
634	22931	13180
635	22970	13146
636	23063	13142
637	23094	13104
638	23187	13099
639	23212	13057
640	23241	13016
641	23264	12972
642	23303	12938
643	23326	12894
644	23356	12854
645	23385	12815
646	23418	12777
647	23456	12741
648	23484	12700
649	23516	12662
650	23539	12619
651	23568	12579
652	23592	12537
653	23627	12500
654	23656	12460
655	23684	12419
656	23722	12384
657	23758	12348
658	23802	12316
659	23832	12277
660	23855	12234
661	23882	12193
662	23917	12156
663	23965	12127
664	23997	12088
665	24245	12158
666	24312	12138
667	24390	12122
668	24440	12092
